Header
04/05/2023,51001,14,Accomack County,VA,78.1,27986,86.6,27931,91.6,27211,95,25741,95,8636,95,24792,76.7,24770,81.2,1955,40.1,24136,86.6,22815,89,7835,95,12476,50.3,12475,50.4,12373,51.3,11997,52.6,9437,65.7,5933,75.7,5446,57.7,3782,63.7,D,15,16,15,16,16,16,Non-metro,7,8,7,8,8,8,16,16,16,15,8,8,8,7,32316,30505,4879,27867,25626,7934,6296,20.6,6242,22.4,6099,23.8,3662,46.2
04/05/2023,35061,14,Valencia County,NM,97,57988,75.6,57588,79.6,55243,84.7,50967,86.7,14415,95,47994,62.6,47845,66.2,5379,39.8,46044,70.6,42466,72.2,12097,86.5,26503,55.2,26493,55.4,26074,56.6,24821,58.4,15824,66.9,8602,71.1,9286,58.7,5780,67.2,D,14,15,14,15,15,16,Metro,2,3,2,3,3,4,16,16,16,15,4,4,4,3,76688,72318,13514,65196,58804,13979,13582,18.8,13355,20.5,12868,21.9,6392,45.7
04/05/2023,20049,14,Elk County,KS,93.9,996,39.4,996,41.6,985,45.7,940,48.2,432,59,902,35.7,902,37.7,44,9.9,891,41.4,858,44,411,56.1,492,54.5,492,54.5,492,55.2,484,56.4,409,67.6,313,76.2,222,54.3,178,56.9,B,5,5,5,5,5,6,Non-metro,5,5,5,5,5,6,8,8,8,7,8,8,8,7,2530,2394,444,2154,1950,732,248,10.4,248,11.5,246,12.6,186,25.4
04/05/2023,28059,14,Jackson County,MS,98.1,82760,57.6,82580,61,80642,65.8,75197,68.1,20473,87.3,70870,49.3,70817,52.3,6152,24.6,69218,56.5,64665,58.5,18609,79.3,27506,38.8,27502,38.8,27264,39.4,26460,40.9,20463,54.8,12396,66.6,8811,43.1,6329,51.1,C,9,10,9,10,10,11,Metro,1,2,1,2,2,3,10,10,11,11,2,2,3,3,143617,135415,24970,122546,110445,23457,9342,6.9,9266,7.6,9099,8.2,5510,23.5
04/05/2023,29155,14,Pemiscot County,MO,91.3,6727,42.6,6723,45.9,6635,50.8,6413,54.5,2078,74.7,5228,33.1,5226,35.7,229,8,5162,39.5,4997,42.4,1645,59.1,1740,33.3,1740,33.3,1731,33.5,1714,34.3,1417,44.4,882,53.6,419,29.6,291,33,D,13,13,13,13,13,14,Non-metro,5,5,5,5,5,6,14,14,14,14,6,6,6,6,15805,14653,2878,13073,11775,2783,715,4.9,711,5.4,699,5.9,414,14.9
04/05/2023,26091,14,Lenawee County,MI,94.1,56294,57.2,,,,,,,,,53678,54.5,53592,57.5,3823,25.1,52675,61.6,49769,63.8,17255,90.1,29100,54.2,29098,54.3,28823,54.7,28041,56.3,20869,65.9,12624,73.2,9149,43.8,6633,52.5,B,6,6,5,6,6,8,Non-metro,6,6,5,6,6,8,8,8,8,7,8,8,8,7,98451,93247,15256,85491,77991,19148,9368,10,9244,10.8,9081,11.6,5387,28.1
04/05/2023,08089,14,Otero County,CO,97,9974,54.6,9956,57.9,9670,62.3,9171,65.9,3105,82.1,9288,50.8,9278,54,670,20.4,9045,58.3,8608,61.9,3051,80.7,5150,55.4,5150,55.5,5127,56.7,5020,58.3,3759,71,2341,76.7,1935,51.5,1340,57.2,D,14,14,13,14,14,16,Non-metro,6,6,5,6,6,8,16,16,16,15,8,8,8,7,18278,17196,3287,15521,13909,3780,2343,13.6,2327,15,2296,16.5,1349,35.7
04/05/2023,12007,14,Bradford County,FL,98.6,15406,54.6,15391,57.6,15215,61.9,14634,64.4,4150,82,13254,47,13249,49.6,658,16.5,13103,53.3,12591,55.4,3922,77.4,4604,34.7,4604,34.7,4588,35,4529,36,3711,49,2498,63.7,1519,40.9,1140,45.6,D,13,13,13,14,14,15,Non-metro,5,5,5,6,6,7,14,14,14,14,6,6,6,6,28201,26719,3989,24576,22730,5064,1530,5.7,1522,6.2,1511,6.6,976,19.3
04/05/2023,49043,14,Summit County,UT,97.7,46529,95,46021,95,43429,95,39724,95,7431,95,39209,93,38953,95,5274,66.8,36856,95,33679,95,6757,95,22721,57.9,22705,58.3,22050,59.8,20501,60.9,12397,72.2,5425,80.3,7744,62.5,4028,74.2,A,4,4,4,4,4,4,Non-metro,8,8,8,8,8,8,4,4,4,4,8,8,8,8,42145,39939,7897,36068,32042,5635,13390,33.5,13013,36.1,12328,38.5,4830,85.7
04/05/2023,54049,14,Marion County,WV,97.1,36553,65.2,36402,68.7,35190,72.4,33247,74.1,10398,93.8,33042,58.9,32963,62.2,2729,33.6,31988,65.8,30234,67.4,9689,87.4,17759,53.7,17756,53.9,17574,54.9,17043,56.4,11856,67.4,7204,74.4,6095,51.4,4218,58.6,B,6,6,6,7,7,8,Non-metro,6,6,6,7,7,8,8,8,8,7,8,8,8,7,56072,52977,8127,48582,44850,11084,6820,12.9,6745,13.9,6612,14.7,3605,32.5
